RegionsIDCode,Percentile_Integrat,Percentile_Experiment,Percentile_Flexible,Percentile_Reliable,Percentile_Method,Percentile_Expert,Percentile_Curious,Percentile_Connective,Percentile_Curative,Percentile_Generative
Manager of R_3imR5OL21lF1pRU,86.39071667,39.93353338,85.27749474,94.96201519,54.97720912,84.94684287,11.66033587,74.96161919,58.30927629,71.62988506
Manager of R_DFWjWpaOHRQxwrf,24.98161481,2.340062225,79.951709,83.29978009,84.96581367,49.9671265,18.32447021,8.331933508,5.831383723,5.554007665
Manager of R_DppvaWmPOrqpBXr,44.97200522,49.96910576,44.97200522,53.31117553,84.96581367,59.9623304,59.97530988,53.30534733,58.30927629,58.30294853
Manager of R_1hSkDxKxXzlhwvO,86.39071667,92.48745261,44.97200522,83.29978009,18.32447021,84.94684287,85.74440559,53.30534733,51.64514194,79.95922039
Manager of R_3snShT2NQjoWxaZ,86.39071667,64.95843351,79.951709,83.29978009,43.31497401,59.9623304,24.98860456,74.96161919,69.9715114,49.97361319
Manager of R_T6LqgqAh2RqYXi9,69.95653507,64.95843351,54.96422884,59.97530988,84.96581367,74.95460846,59.97530988,53.30534733,81.6337465,71.62988506
Manager of R_pfOdDRpSigNdH6F,29.99020189,9.99730054,29.97971637,29.98670532,66.63944422,34.97780414,1.665850163,18.95132771,21.65653739,13.88611898
Manager of R_308coaLkvGTxQki,9.99580081,2.340062225,19.99250384,53.31117553,94.98866818,49.9671265,4.332050257,10.69148927,28.32067173,41.64427786
Manager of R_2ZVVNoa1fka3CaJ,29.99020189,14.99490099,29.97971637,36.65083966,66.63944422,49.9671265,36.65083966,39.97841079,51.64514194,49.97361319
Manager of R_2YrhRlYrcPjtcFZ,98.98530294,94.9870027,98.88885602,94.96201519,94.98866818,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_1pKglnshVAg3z53,98.98530294,94.9870027,98.88885602,94.96201519,18.32447021,94.94204676,98.95173903,92.17180626,86.65016997,98.95173903
Manager of R_3ESbkXDLyBJHWhD,44.97200522,39.93353338,64.95943273,59.97530988,43.31497401,59.9623304,76.63564574,53.30534733,58.30927629,49.97361319
Manager of R_3kh56WRhrIdIFlQ,98.98530294,94.9870027,85.27749474,94.96201519,24.98860456,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_dnVbG0p2WjoNXH3,98.98530294,94.9870027,98.88885602,94.96201519,94.98866818,94.94204676,98.95173903,94.9036535,89.98290342,98.95173903
Manager of R_wMOcW2wjzh1NfeF,86.39071667,14.99490099,64.95943273,83.29978009,54.97720912,94.94204676,24.98860456,39.97841079,14.99240304,28.31734133
